fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-10-13,HOMBRE,2613,2723,464991
2020-10-13,MUJER,2859,2913,436064
2020-10-14,HOMBRE,2479,2746,467470
2020-10-14,MUJER,2680,2926,438744
2020-10-15,HOMBRE,3281,2869,470751
2020-10-15,MUJER,3293,3034,442037
2020-10-16,HOMBRE,2876,2912,473627
2020-10-16,MUJER,3110,3093,445147
2020-10-17,HOMBRE,2675,2778,476302
2020-10-17,MUJER,2806,2949,447953
2020-10-18,HOMBRE,2972,2871,479274
2020-10-18,MUJER,2995,3027,450948
2020-10-19,HOMBRE,3617,2930,482891
2020-10-19,MUJER,3853,3085,454801
2020-10-20,HOMBRE,4067,3138,486958
2020-10-20,MUJER,4156,3270,458957
2020-10-21,HOMBRE,2635,3160,489593
2020-10-21,MUJER,2827,3291,461784
2020-10-22,HOMBRE,2879,3103,492472
2020-10-22,MUJER,2914,3237,464698
2020-10-23,HOMBRE,2829,3096,495301
2020-10-23,MUJER,3083,3233,467781
2020-10-24,HOMBRE,2550,3078,497851
2020-10-24,MUJER,2635,3209,470416
2020-10-25,HOMBRE,3029,3086,500880
2020-10-25,MUJER,3083,3221,473499
2020-10-26,HOMBRE,3380,3052,504260
2020-10-26,MUJER,3526,3174,477025
2020-10-27,HOMBRE,2791,2870,507051
2020-10-27,MUJER,2868,2990,479893
2020-10-28,HOMBRE,2835,2899,509886
2020-10-28,MUJER,2978,3012,482871
2020-10-29,HOMBRE,2515,2847,512401
2020-10-29,MUJER,2505,2954,485376
2020-10-30,HOMBRE,2865,2852,515266
2020-10-30,MUJER,3211,2972,488587
2020-10-31,HOMBRE,2440,2836,517706
2020-10-31,MUJER,2450,2945,491037
2020-11-01,HOMBRE,3886,2958,521592
2020-11-01,MUJER,3969,3072,495006
2020-11-02,HOMBRE,3286,2945,524878
2020-11-02,MUJER,3401,3054,498407
2020-11-03,HOMBRE,3169,2999,528047
2020-11-03,MUJER,3261,3110,501668
2020-11-04,HOMBRE,2913,3010,530960
2020-11-04,MUJER,3101,3128,504769
2020-11-05,HOMBRE,3241,3114,534201
2020-11-05,MUJER,3285,3239,508054
2020-11-06,HOMBRE,3207,3163,537408
2020-11-06,MUJER,3385,3264,511439
2020-11-07,HOMBRE,3004,3243,540412
2020-11-07,MUJER,3125,3361,514564
2020-11-08,HOMBRE,2903,3103,543315
2020-11-08,MUJER,2966,3217,517530
2020-11-09,HOMBRE,3781,3174,547096
2020-11-09,MUJER,4031,3307,521561
2020-11-10,HOMBRE,4033,3297,551129
2020-11-10,MUJER,4250,3449,525811
2020-11-11,HOMBRE,3118,3326,554247
2020-11-11,MUJER,3185,3461,528996
2020-11-12,HOMBRE,2925,3281,557172
2020-11-12,MUJER,3022,3423,532018
2020-11-13,HOMBRE,2920,3240,560092
2020-11-13,MUJER,3008,3369,535026
2020-11-14,HOMBRE,2787,3209,562879
2020-11-14,MUJER,2925,3341,537951
2020-11-15,HOMBRE,3583,3306,566462
2020-11-15,MUJER,3674,3442,541625
2020-11-16,HOMBRE,3412,3254,569874
2020-11-16,MUJER,3637,3385,545262
2020-11-17,HOMBRE,3582,3189,573456
2020-11-17,MUJER,3724,3310,548986
2020-11-18,HOMBRE,3571,3254,577027
2020-11-18,MUJER,3792,3397,552778
2020-11-19,HOMBRE,3339,3313,580366
2020-11-19,MUJER,3607,3481,556385
2020-11-20,HOMBRE,5317,3655,585683
2020-11-20,MUJER,5690,3864,562075
2020-11-21,HOMBRE,3236,3720,588919
2020-11-21,MUJER,3588,3958,565663
2020-11-22,HOMBRE,3311,3681,592230
2020-11-22,MUJER,3741,3968,569404
2020-11-23,HOMBRE,4327,3811,596557
2020-11-23,MUJER,4701,4120,574105
2020-11-24,HOMBRE,3830,3847,600387
2020-11-24,MUJER,3927,4149,578032
2020-11-25,HOMBRE,4160,3931,604547
2020-11-25,MUJER,4502,4250,582534
2020-11-26,HOMBRE,3667,3978,608214
2020-11-26,MUJER,3849,4285,586383
2020-11-27,HOMBRE,4035,3795,612249
2020-11-27,MUJER,4205,4073,590588
2020-11-28,HOMBRE,4117,3921,616366
2020-11-28,MUJER,4351,4182,594939
2020-11-29,HOMBRE,3697,3976,620063
2020-11-29,MUJER,3918,4207,598857
2020-11-30,HOMBRE,5589,4156,625652
2020-11-30,MUJER,5924,4382,604781
2020-12-01,HOMBRE,6377,4520,632029
2020-12-01,MUJER,6574,4760,611355
2020-12-02,HOMBRE,4570,4578,636599
2020-12-02,MUJER,4782,4800,616137
